,text,original,generated
0,"Before you run away from me
",0,0
1,"Arrive climb up four flights to the orange side
",0,0
2,"Dans mon café
",0,0
3,"Who bribed the company to come and see you honey?
",0,0
4,"Look how much their big fucking mouths have gone and cost them
",0,0
5,"And youve got ventriloquists
",0,0
6,"Off with his head man, off with his head man
",0,0
7,"A giant turtles eyes 
",0,0
8,"In a tight little world and are you on the list?
",0,0
9,"Though my problems are meaningless, that dont make them go away
",0,0
10,"Fucking nigga
",0,0
11,"Taking off and landing
",0,0
12,"The panic, the vomit 
",0,0
13,"Anyway you turn
",0,0
14,"Darling use me, darling use me
",0,0
15,"That the sky is falling in
",0,0
16,"Every day every hour
",0,0
17,"What happened?
",0,0
18,"By a window
",0,0
19,"Am I really sinking this low?
",0,0
20,"Im moving out of orbit
",0,0
21,"Late at night when Im driving
",0,0
22,"On the road to my horizon
",0,0
23,"Death to all who stand in your way
",0,0
24,"Thom: Amateur hour! Its us!
",0,0
25,"And anywhere you turn
",0,0
26,"In my mouth
",0,0
27,"Cause he cheats on his friends
",0,0
28,"Heat the pins and stab them in
",0,0
29,"In haunted attics
",0,0
30,"Not, but Im not
",0,0
31,"Rent free earthquake zone, molasses
",0,0
32,"Hey, whoa, climbing up a bloody great hill
",0,0
33,"The car to drive right through the shops
",0,0
34,"Just happy to serve
",0,0
35,"That its happening
",0,0
36,"I am her face when she sleeps
",0,0
37,"This place is on a mission
",0,0
38,"How come I end up where I went wrong?
",0,0
39,"Wеll of course Id like to stay and chew the fat
",0,0
40,"Seul tes, tous les jours cest sale, taimes ?
",0,0
41,"Your eyes are on my wall
",0,0
42,"Go up to the mic, go up to the mic
",0,0
43,"Same old jokes since 1902
",0,0
44,"Keep an eye out for the neighbors
",0,0
45,"Tied to a stick
",0,0
46,"Particles scatter
",0,0
47,"I need a crowd of people
",0,0
48,"Its what keeps me alive
",0,0
49,"At the tip off I lost your number
",0,0
50,"A white room
",0,0
51,"Ive bled and Id bleed to please you
",0,0
52,"And he used to do surgery
",0,0
53,"They’re watching me play with you
",0,0
54,"When the other men are far, far better?
",0,0
55,"I want a perfect soul
",0,0
56,"Up above aliens hover
",0,0
57,"Do what you want
",0,0
58,"And if it we once made it
",0,0
59,"But were still on, payroll, oh no no
",0,0
